site_id,locality,postalCode,state,operatorId,operatorName,lon,lat,total_num_pois,num_fast_food,num_fuel_stations,num_supermarkets,closest_category,has_toilet,has_wifi,has_seating,open_24hr,tags.brand
X_Dh9w7c7WCzXWp1Lx00RLt2XiSSTR9gvdFRTENh_II,Hamburg,22335,Hamburg,DEHHM,Hamburger Energiewerke,10.015394,53.636191,2,1.0,1.0,0.0,fast_food,False,False,False,False,
X_pjWc1w76DReq1nGk7ThgdRdrQn8tycQgqd74FdeYc,Hamburg,20359,Hamburg,DE384,EDEKA,9.967405,53.556335,5,3.0,1.0,1.0,fast_food,False,False,False,True,JET
X_pjWc1w76DReq1nGk7ThgdRdrQn8tycQgqd74FdeYc,Hamburg,20359,Hamburg,DE384,EDEKA,9.967405,53.556335,5,3.0,1.0,1.0,fast_food,False,False,False,False,
X_pjWc1w76DReq1nGk7ThgdRdrQn8tycQgqd74FdeYc,Hamburg,20359,Hamburg,DE384,EDEKA,9.967405,53.556335,5,3.0,1.0,1.0,fast_food,False,False,True,False,
X_pjWc1w76DReq1nGk7ThgdRdrQn8tycQgqd74FdeYc,Hamburg,20359,Hamburg,DE384,EDEKA,9.967405,53.556335,5,3.0,1.0,1.0,fast_food,False,False,False,False,
X_pjWc1w76DReq1nGk7ThgdRdrQn8tycQgqd74FdeYc,Hamburg,20359,Hamburg,DE384,EDEKA,9.967405,53.556335,5,3.0,1.0,1.0,fast_food,False,False,False,False,Aldi Nord
XbpoC5njtuEBP4BezJx5cbtOZNx5L7gk19MhD7vaFRo,Hamburg,20144,Hamburg,DEHHM,Hamburger Energiewerke,9.977718,53.5753,1,0.0,0.0,1.0,supermarket,False,False,False,False,Lidl
Xe9QCgFmWglUgvF99TzHbY2UjfoPytkeHCrHB7t96mU,Hamburg,20257,Hamburg,DEHHM,Hamburger Energiewerke,9.94885,53.569931,0,0.0,0.0,0.0,,,,,,
XiFrLQr8B0OCgCZQ0gH9_BUihXXborSd7tQpABS_JYc,Hamburg,20148,Hamburg,DEHHM,Hamburger Energiewerke,9.988565,53.56769,0,0.0,0.0,0.0,,,,,,
XkiQHnQU5qY1piiJKwSE316ZiDE-_kLzUtowQE62CWQ,Escheburg,21039,Hamburg,DELMS,LastMileSolutions,10.314728,53.471979,0,0.0,0.0,0.0,,,,,,
XoHLH1_qKwavViAbJMq70WnmeBe7e_o0hKQbEqBpw-k,Hamburg,21033,Hamburg,DEHHM,Hamburger Energiewerke,10.182942,53.488597,0,0.0,0.0,0.0,,,,,,
Y3_KYA0hSTNqZbsY7sZuoyTNooLRU-BC8A66Q6SoWvE,Hamburg,22041,Hamburg,DEHHM,Hamburger Energiewerke,10.08539,53.577248,1,1.0,0.0,0.0,fast_food,False,False,False,True,KFC
YE7qo6SY1SEnWhrPIuJNJRkQeFoGsUO0spgFBX74uec,Hamburg,22301,Hamburg,DEHHM,Hamburger Energiewerke,10.00517,53.58065,0,0.0,0.0,0.0,,,,,,
YGAYBD2hdDajVOErZ5xFnAowyTc6rfRlmVKPX_5SrXQ,Hamburg,21035,Hamburg,DEHHM,Hamburger Energiewerke,10.174774,53.476754,0,0.0,0.0,0.0,,,,,,
YJUcq5GFnhLeCq9TE5qk9W8Gh4w8K28FkuQnK7cFS9I,Hamburg,22765,Hamburg,DEEZE,eze.network GmbH,9.93347,53.55334,5,2.0,0.0,3.0,supermarket,False,False,True,False,Burger King
YJUcq5GFnhLeCq9TE5qk9W8Gh4w8K28FkuQnK7cFS9I,Hamburg,22765,Hamburg,DEEZE,eze.network GmbH,9.93347,53.55334,5,2.0,0.0,3.0,supermarket,False,False,False,False,
