id,locality,postalCode,state,streetAddress,geoCoordinates,operatorId,operatorName
QiTXaw1jkrRuY63-UtFbbbhdJv5W65NtIOibNfsr3FQ,Hamburg,20148,Hamburg,Mollerstraße 20,"[9.992162,53.570523]",DEHHM,Hamburger Energiewerke
Qk5TjtE8EDk0SIGrhscCfoowR_nQoQpwf3EXNdJK2sw,Hamburg,22559,Hamburg,Sülldorfer Landstraße 160,"[9.80196,53.57961]",DEQRM,Qwello
Qnu0GULaMnkoeU86s-REE4kLHJ1y429p9FnjUF8q_AI,Hamburg,21035,Hamburg,Randersweide 1 A,"[10.196511,53.477259]",ATHTB,Chargepoint
QqswfJiVRhasij9LHp0SO09KTg3bvSj9Y--NfX_x5ZY,Hamburg,20457,Hamburg,Willy-Brand-Str.  21,"[9.999628,53.547247]",DEEND,EMobility Netzwerk Deutschland GmbH
Qrk9La2O6RbNemVwzxOKr6N0RRLk_MHu4R3hn5Lkv-o,Hamburg,22761,Hamburg,Beim Alten Gaswerk 3,"[9.918796,53.56315]",DEHHM,Hamburger Energiewerke
Qs4SRV6IXUilFK9NnwB6cQPmdBjF7rCaTyhVNzuxqHA,Hamburg,22767,Hamburg,Breite Straße 56,"[9.95042,53.54645]",DEHHM,Hamburger Energiewerke
QtJnpeBvilIFnYbLLR440XIpC_uaQTgedhBKVD3DjFQ,Hamburg,22301,Hamburg,Opitzstraße 17,"[10.007188,53.589469]",DEHHM,Hamburger Energiewerke
R0djjzosx-rf1fP-ScozGWurldVxFywoeHcRStJHg4Y,Hamburg,22041,Hamburg,Wandsbeker Zollstraße 15,"[10.074154,53.574796]",DEHHM,Hamburger Energiewerke
R0jg5AgK-6Hgr6IKJgaja3H53ggDeqvvU4ncfpRbpSk,Hamburg,22391,Hamburg,Wellingsbüttler Weg 125,"[10.081769,53.642246]",DEHHM,Hamburger Energiewerke
R3SSdr9uPaJ2LWpDQQI9RCMy8mh5-ZhQZnWc7oYvFbA,Hamburg,22605,Hamburg,Albertiweg 1-15,"[9.879295,53.549015]",DE199,NWG Charging GmbH
RBWqwVqsQiW6M8Z-IY6gBKFWyrKGAo08etKCVMVapKc,Hamburg,22549,Hamburg,Achtern Born 94,"[9.8516,53.58648]",DEWWL,Westfalen Weser Ladeservice GmbH
RC7v1D9HnH9pq2WR7_r0nMHWPpzOLktUbrfGr_YLpzs,Hamburg,22607,Hamburg,Beselerstraße 48,"[9.88041,53.565159]",DEHHM,Hamburger Energiewerke
RCVDFPYJUVkJlIfaILoyhwXRZKV5LVpppnnJUPA895E,Hamburg,20148,Hamburg,Alte Rabenstraße 19,"[9.997129,53.567221]",DENNX,nonoxx pro GmbH
RDSTN1TnHnsfrBXl2rtG_BBGidx4_XBxtK4kzI5t2aQ,Hamburg,22111,Hamburg,Bei Den Zelten 2,"[10.08059,53.555]",DE199,NWG Charging GmbH
